,parcel_number,address,finsqft,use,year_built,transfer_date,amount,total_rooms,bedrooms,full_baths,half_baths,conveyance_number,deed_type,num_parcels_sold,acreage,annual_tax,effective_tax_rate,school_district,appraisal_area,board_of_revision,rental_registration,homestead,owner_occupancy_credit,foreclosure,special_assessments,market_land_value,cauv_value,market_improvement_value,market_total_value,tif_value,abated_value,exempt_value,taxes_paid
0,001-0004-0255-00,6355 24 CORBLY RD,930,550,1984,07-08-2011,"$105,000",4,2,1,1,125796,WD - Warranty Deed (Conv),2,0.000,"$2,968.52",69.301606,CINCINNATI CSD,00105 - CORBLYS GRANT CONDO,No,No,No,Yes,No,No,20000,0,119230,139230,0,0,0,"$2,968.52"
1,002-0002-0208-00,6129 CAMBRIDGE AVE,1152,510,1927,07-14-2011,"$141,500",7,4,1,0,279245,WD - Warranty Deed (Conv),1,0.177,"$5,142.60",69.301606,CINCINNATI CSD,00100 - MT WASHINGTON 00,No,No,No,Yes,No,Yes,23750,0,214250,238000,0,0,0,"$5,142.60"
2,002-0002-0259-00,1602 BRANDON AVE,1116,510,1939,04-26-2011,"$114,000",5,2,1,0,106152,WD - Warranty Deed (Conv),2,0.178,"$3,484.05",69.301606,CINCINNATI CSD,00100 - MT WASHINGTON 00,YES(09),No,No,Yes,No,Yes,23510,0,139080,162590,0,0,0,"$3,484.05"
3,002-0004-0124-00,1609 CLIO AVE,922,510,1939,08-26-2011,"$109,360",5,2,1,0,30522,WD - Warranty Deed (Conv),1,0.179,"$2,497.25",69.301606,CINCINNATI CSD,00100 - MT WASHINGTON 00,No,No,No,Yes,No,Yes,24210,0,92110,116320,0,0,0,"$2,497.25"
4,002-0008-0021-00,6824 WHITEHALL AVE,1225,510,1952,07-08-2011,"$127,500",6,3,1,0,254899,QE - Quit Claim Deed (EX),1,0.166,"$3,417.63",69.301606,CINCINNATI CSD,00120 - MT WASHINGTON 20,No,No,No,Yes,No,Yes,31300,0,126280,157580,0,0,0,"$3,417.63"
5,002-0008-0027-00,6828 SALEM RD,1252,510,1951,03-23-2011,"$110,000",6,3,1,1,175026,FD - Fiduciary Deed (Conv),1,0.147,"$3,989.86",69.301606,CINCINNATI CSD,00120 - MT WASHINGTON 20,YES(09),No,No,Yes,No,Yes,29560,0,156300,185860,0,0,0,"$3,989.86"
6,002-0009-0216-00,1481 MEARS AVE,1107,510,1958,08-30-2011,"$122,000",6,3,1,1,108489,WD - Warranty Deed (Conv),1,0.162,"$3,292.96",69.301606,CINCINNATI CSD,00100 - MT WASHINGTON 00,No,No,No,Yes,No,Yes,23230,0,130300,153530,0,0,0,"$3,292.96"
7,003-0003-0073-00,2486 WENATCHEE LN,1235,510,1955,06-06-2011,"$148,500",6,3,2,0,21689,WD - Warranty Deed (Conv),1,0.225,"$4,595.47",69.301606,CINCINNATI CSD,00122 - MT WASHINGTON 22,No,No,No,Yes,No,Yes,33270,0,181240,214510,0,0,0,"$4,595.47"
8,003-0005-0136-00,2684 BONNIE DR,1197,510,1954,08-11-2011,"$140,000",5,2,2,0,24580,WD - Warranty Deed (Conv),1,0.330,"$3,432.20",69.301606,CINCINNATI CSD,00121 - MT WASHINGTON 21,No,No,Yes,Yes,No,Yes,36340,0,176790,213130,0,0,0,"$3,432.20"
9,023-0003-0129-00,3340 ROYAL PL,1257,510,1927,05-05-2011,"$240,000",7,3,2,0,63059,WD - Warranty Deed (Conv),1,0.119,"$7,225.89",69.301606,CINCINNATI CSD,00602 - MT LOOKOUT 02,No,No,No,No,No,Yes,172280,0,153260,325540,0,0,0,"$7,225.89"
10,026-0001-0019-00,506 DELTA AVE,1262,510,1924,03-29-2011,"$157,000",6,3,1,1,361722,WD - Warranty Deed (Conv),1,0.192,"$5,526.24",69.301606,CINCINNATI CSD,00420 - COLUMBIA TUSCULUM 20,No,No,No,Yes,No,Yes,99990,0,157320,257310,0,0,0,"$5,526.24"
11,026-0001-0086-00,543 HOGE ST,1214,510,1892,08-22-2011,"$214,750",8,3,2,1,263710,WD - Warranty Deed (Conv),1,0.085,"$7,265.73",69.301606,CINCINNATI CSD,00405 - COLUMBIA TUSCULUM 05,No,No,No,Yes,No,Yes,144170,0,195830,340000,0,0,0,"$7,265.73"
12,026-0001-0123-00,554 1/2 HOGE ST,1152,510,1988,03-10-2011,"$134,000",5,2,1,1,41951,WD - Warranty Deed (Conv),1,0.058,"$5,507.42",69.301606,CINCINNATI CSD,00405 - COLUMBIA TUSCULUM 05,No,No,No,Yes,No,Yes,115060,0,142880,257940,0,0,0,"$5,507.42"
13,027-0002-0014-00,3716 STEVENS PL,1097,510,1893,06-02-2011,"$185,000",4,2,1,0,322932,WD - Warranty Deed (Conv),1,0.058,"$5,469.63",69.301606,CINCINNATI CSD,00405 - COLUMBIA TUSCULUM 05,No,No,No,Yes,No,Yes,112290,0,132710,245000,0,0,0,"$5,469.63"
14,027-0003-0113-00,3825 STITES PL,1003,510,1921,06-14-2011,"$127,000",6,3,1,0,66739,WD - Warranty Deed (Conv),1,0.070,"$3,889.19",69.301606,CINCINNATI CSD,00421 - COLUMBIA TUSCULUM 21,No,No,No,Yes,No,Yes,50580,0,131440,182020,0,0,0,"$3,889.19"
15,028-0006-0194-00,532 TUSCULUM AVE,1056,550,1980,04-05-2011,"$130,000",5,2,1,1,160342,WD - Warranty Deed (Conv),1,0.000,"$3,989.59",69.301606,CINCINNATI CSD,00416 - TUSCULUM CONDO,No,No,No,Yes,No,Yes,29400,0,157680,187080,0,0,0,"$3,989.59"
16,028-0006-0204-00,552 TUSCULUM AVE,1056,550,1980,04-11-2011,"$136,000",5,2,1,2,210211,WD - Warranty Deed (Conv),1,0.000,"$3,984.13",69.301606,CINCINNATI CSD,00416 - TUSCULUM CONDO,No,No,No,Yes,No,Yes,29400,0,157440,186840,0,0,0,"$3,984.13"
17,036-0006-0236-00,5605 BRAMBLE AVE,1096,510,1909,05-31-2011,"$115,000",6,2,2,0,302202,WD - Warranty Deed (Conv),1,0.167,"$5,188.28",69.301606,CINCINNATI CSD,00800 - MADISONVILLE,No,No,No,Yes,No,Yes,46880,0,195710,242590,0,0,0,"$5,188.28"
18,037-0002-0207-00,6731 BRITTON AVE,1259,510,1939,07-20-2011,"$103,000",5,2,1,0,187249,WE - Warranty Deed (EX),1,0.085,"$3,650.48",69.301606,CINCINNATI CSD,00800 - MADISONVILLE,No,No,No,No,No,Yes,29940,0,134350,164290,0,0,0,"$3,650.48"
19,037-0003-0382-00,6816 HURD AVE,1208,510,1940,03-22-2011,"$124,375",8,3,2,1,161496,WD - Warranty Deed (Conv),1,0.100,"$3,742.76",69.301606,CINCINNATI CSD,00800 - MADISONVILLE,No,No,No,Yes,No,Yes,32240,0,142630,174870,0,0,0,"$3,742.76"
30,037-0004-0043-00,4200 HOMER AVE,985,510,1913,03-22-2011,"$272,000",5,2,1,1,348151,WE - Warranty Deed (EX),4,0.093,"$4,255.04",69.301606,CINCINNATI CSD,00800 - MADISONVILLE,YES(12),Yes,No,No,No,Yes,32240,0,159360,191600,0,0,0,"$4,255.04"
31,037-0005-0265-00,7022 BRITTON AVE,1190,510,1940,06-28-2011,"$100,000",6,3,1,0,262978,WD - Warranty Deed (Conv),1,0.114,"$4,213.06",69.301606,CINCINNATI CSD,00800 - MADISONVILLE,No,No,No,Yes,No,Yes,36850,0,160150,197000,0,0,0,"$4,213.06"
32,038-0001-0024-00,3646 105 ASHWORTH DR,1248,550,1978,07-01-2011,"$125,000",5,2,2,0,242081,WD - Warranty Deed (Conv),1,0.000,"$5,019.93",69.301606,CINCINNATI CSD,00929 - ASHWORTH PHASE 1 CONDO,No,No,No,Yes,No,Yes,40500,0,194500,235000,0,0,0,"$5,019.93"
