,parcel_number,address,finsqft,use,year_built,transfer_date,amount,total_rooms,bedrooms,full_baths,half_baths,conveyance_number,deed_type,num_parcels_sold,acreage,annual_tax,effective_tax_rate,school_district,appraisal_area,board_of_revision,rental_registration,homestead,owner_occupancy_credit,foreclosure,special_assessments,market_land_value,cauv_value,market_improvement_value,market_total_value,tif_value,abated_value,exempt_value,taxes_paid,st_num,apt_num,street,city,state,new_address,formatted_address,longitude,latitude,year,month,num_amount
0,001-0001-0059-00,6329 Coffey St,1001,510,1947,07-06-2009,"$139,000",5,3,1,1,322155.0,WD - Warranty Deed (Conv),1,0.234,"$3,747.50",69.301606,CINCINNATI CSD,00100 - MT WASHINGTON 00,YES(16),No,No,Yes,No,Yes,26620,0,148380,175000,0,0,0,"$3,747.50",6329,,Coffey St,Cincinnati,OH,"6329 Coffey St Cincinnati, OH","6329 Coffey St, Cincinnati, OH 45230, USA",-84.38083209999999,39.0966166,2009,7,139000
1,001-0001-0191-00,6574 Coffey St,1129,510,1952,08-27-2009,"$112,500",6,3,1,0,323189.0,WD - Warranty Deed (Conv),1,0.155,"$3,925.68",69.301606,CINCINNATI CSD,00119 - MT WASHINGTON 19,No,No,No,No,No,Yes,25570,0,149430,175000,0,0,0,"$3,925.68",6574,,Coffey St,Cincinnati,OH,"6574 Coffey St Cincinnati, OH","6574 Coffey St, Cincinnati, OH 45230, USA",-84.374113,39.0964549,2009,8,112500
2,001-0001-0203-00,6564 Rainbow Ln,1129,510,1954,08-03-2009,"$117,000",5,3,1,1,178475.0,WD - Warranty Deed (Conv),1,0.144,"$3,446.93",69.301606,CINCINNATI CSD,00119 - MT WASHINGTON 19,No,No,No,Yes,No,Yes,26140,0,134700,160840,0,0,0,"$3,446.93",6564,,Rainbow Ln,Cincinnati,OH,"6564 Rainbow Ln Cincinnati, OH","6564 Rainbow Ln, Cincinnati, OH 45230, USA",-84.3742568,39.0982054,2009,8,117000
3,001-0001-0424-00,6555 Silverfox Dr,1044,555,2000,06-29-2009,"$142,000",5,2,1,1,341570.0,WE - Warranty Deed (EX),1,0.023,"$3,699.54",69.301606,CINCINNATI CSD,00102 - RESERVES OF TURPIN LANDO,No,No,No,Yes,No,No,40000,0,133500,173500,0,0,0,"$3,699.54",6555,,Silverfox Dr,Cincinnati,OH,"6555 Silverfox Dr Cincinnati, OH","6555 Silverfox Dr, Cincinnati, OH 45230, USA",-84.37548869999999,39.0998448,2009,6,142000
4,001-0002-0133-00,2140 Ronaldson Ave,1244,510,1914,03-13-2009,"$102,000",5,2,1,0,93767.0,WD - Warranty Deed (Conv),1,0.217,"$3,030.93",69.301606,CINCINNATI CSD,00100 - MT WASHINGTON 00,No,No,No,Yes,No,Yes,26410,0,111500,137910,0,0,0,"$3,030.93",2140,,Ronaldson Ave,Cincinnati,OH,"2140 Ronaldson Ave Cincinnati, OH","2140 Ronaldson Ave, Cincinnati, OH 45230, USA",-84.3832432,39.0939181,2009,3,102000
5,001-0003-0197-00,1954 Sutton Ave,1101,510,1950,08-03-2009,"$125,000",5,2,1,0,26009.0,WD - Warranty Deed (Conv),1,0.226,"$3,274.17",69.301606,CINCINNATI CSD,00100 - MT WASHINGTON 00,No,No,No,Yes,No,Yes,26360,0,126460,152820,0,0,0,"$3,274.17",1954,,Sutton Ave,Cincinnati,OH,"1954 Sutton Ave Cincinnati, OH","1954 Sutton Ave, Cincinnati, OH 45230, USA",-84.3895572,39.0897369,2009,8,125000
6,001-0003-0206-00,1806 Wilaray Te,921,510,1937,03-02-2009,"$129,250",5,2,1,0,19240.0,WD - Warranty Deed (Conv),1,0.188,"$2,979.52",69.301606,CINCINNATI CSD,00100 - MT WASHINGTON 00,No,No,No,Yes,No,Yes,24670,0,114340,139010,0,0,0,"$2,979.52",1806,,Wilaray Te,Cincinnati,OH,"1806 Wilaray Te Cincinnati, OH","1806 Wilaray Terrace, Cincinnati, OH 45230, USA",-84.3834258,39.0877605,2009,3,129250
7,002-0002-0216-00,1648 Mears Ave,1080,510,1928,04-06-2009,"$135,300",6,2,1,0,111508.0,WD - Warranty Deed (Conv),1,0.137,"$2,940.27",69.301606,CINCINNATI CSD,00100 - MT WASHINGTON 00,No,No,No,Yes,No,Yes,20310,0,116700,137010,0,0,0,"$2,940.27",1648,,Mears Ave,Cincinnati,OH,"1648 Mears Ave Cincinnati, OH","1648 Mears Ave, Cincinnati, OH 45230, USA",-84.38651089999999,39.0840973,2009,4,135300
8,002-0002-0267-00,1655 Alcor Te,1125,510,1938,05-14-2009,"$110,000",5,2,1,0,22085.0,WD - Warranty Deed (Conv),1,0.122,"$3,244.49",69.301606,CINCINNATI CSD,00100 - MT WASHINGTON 00,No,No,No,Yes,No,Yes,29700,0,121810,151510,0,0,0,"$3,244.49",1655,,Alcor Te,Cincinnati,OH,"1655 Alcor Te Cincinnati, OH","1655 Alcor Terrace, Cincinnati, OH 45230, USA",-84.3809969,39.0833868,2009,5,110000
9,002-0004-0034-00,6209 Dawes Ln,1122,510,1951,04-02-2009,"$105,000",6,3,1,0,298682.0,QE - Quit Claim Deed (EX),1,0.23,"$3,109.39",69.301606,CINCINNATI CSD,00100 - MT WASHINGTON 00,No,No,No,Yes,No,Yes,26360,0,118720,145080,0,0,0,"$3,109.39",6209,,Dawes Ln,Cincinnati,OH,"6209 Dawes Ln Cincinnati, OH","6209 Dawes Ln, Cincinnati, OH 45230, USA",-84.3879336,39.0816612,2009,4,105000
