,parcel_number,address,finsqft,use,year_built,transfer_date,amount,total_rooms,bedrooms,full_baths,half_baths,conveyance_number,deed_type,num_parcels_sold,acreage,annual_tax,effective_tax_rate,school_district,appraisal_area,board_of_revision,rental_registration,homestead,owner_occupancy_credit,foreclosure,special_assessments,market_land_value,cauv_value,market_improvement_value,market_total_value,tif_value,abated_value,exempt_value,taxes_paid,st_num,apt_num,street,city,state,new_address,formatted_address,longitude,latitude,num_amount,year,month
0,001-0004-0255-00,6355 24 Corbly Rd,930,550,1984,07-08-2011,"$105,000",4,2,1,1,125796.0,WD - Warranty Deed (Conv),2,0.0,"$2,968.52",69.301606,CINCINNATI CSD,00105 - CORBLYS GRANT CONDO,No,No,No,Yes,No,No,20000,0,119230,139230,0,0,0,"$2,968.52",6355,24,Corbly Rd,Cincinnati,OH,"6355 Corbly Rd 24 Cincinnati, OH","6355 Corbly Rd APT 24, Cincinnati, OH 45230, USA",-84.3825116,39.0925988,105000,2011,7
1,002-0002-0208-00,6129 Cambridge Ave,1152,510,1927,07-14-2011,"$141,500",7,4,1,0,279245.0,WD - Warranty Deed (Conv),1,0.177,"$5,142.60",69.301606,CINCINNATI CSD,00100 - MT WASHINGTON 00,No,No,No,Yes,No,Yes,23750,0,214250,238000,0,0,0,"$5,142.60",6129,,Cambridge Ave,Cincinnati,OH,"6129 Cambridge Ave Cincinnati, OH","6129 Cambridge Ave, Cincinnati, OH 45230, USA",-84.38908699999999,39.084669,141500,2011,7
2,002-0002-0259-00,1602 Brandon Ave,1116,510,1939,04-26-2011,"$114,000",5,2,1,0,106152.0,WD - Warranty Deed (Conv),2,0.178,"$3,484.05",69.301606,CINCINNATI CSD,00100 - MT WASHINGTON 00,YES(09),No,No,Yes,No,Yes,23510,0,139080,162590,0,0,0,"$3,484.05",1602,,Brandon Ave,Cincinnati,OH,"1602 Brandon Ave Cincinnati, OH","1602 Brandon Ave, Cincinnati, OH 45230, USA",-84.38917830000001,39.0829814,114000,2011,4
3,002-0004-0124-00,1609 Clio Ave,922,510,1939,08-26-2011,"$109,360",5,2,1,0,30522.0,WD - Warranty Deed (Conv),1,0.179,"$2,497.25",69.301606,CINCINNATI CSD,00100 - MT WASHINGTON 00,No,No,No,Yes,No,Yes,24210,0,92110,116320,0,0,0,"$2,497.25",1609,,Clio Ave,Cincinnati,OH,"1609 Clio Ave Cincinnati, OH","1609 Clio Ave, Cincinnati, OH 45230, USA",-84.3885564,39.0827618,109360,2011,8
4,002-0008-0021-00,6824 Whitehall Ave,1225,510,1952,07-08-2011,"$127,500",6,3,1,0,254899.0,QE - Quit Claim Deed (EX),1,0.166,"$3,417.63",69.301606,CINCINNATI CSD,00120 - MT WASHINGTON 20,No,No,No,Yes,No,Yes,31300,0,126280,157580,0,0,0,"$3,417.63",6824,,Whitehall Ave,Cincinnati,OH,"6824 Whitehall Ave Cincinnati, OH","6824 Whitehall Ave, Cincinnati, OH 45230, USA",-84.37075829999999,39.0749126,127500,2011,7
5,002-0008-0027-00,6828 Salem Rd,1252,510,1951,03-23-2011,"$110,000",6,3,1,1,175026.0,FD - Fiduciary Deed (Conv),1,0.147,"$3,989.86",69.301606,CINCINNATI CSD,00120 - MT WASHINGTON 20,YES(09),No,No,Yes,No,Yes,29560,0,156300,185860,0,0,0,"$3,989.86",6828,,Salem Rd,Cincinnati,OH,"6828 Salem Rd Cincinnati, OH","6828 Salem Rd, Cincinnati, OH 45230, USA",-84.37069699999999,39.07404500000001,110000,2011,3
6,002-0009-0216-00,1481 Mears Ave,1107,510,1958,08-30-2011,"$122,000",6,3,1,1,108489.0,WD - Warranty Deed (Conv),1,0.162,"$3,292.96",69.301606,CINCINNATI CSD,00100 - MT WASHINGTON 00,No,No,No,Yes,No,Yes,23230,0,130300,153530,0,0,0,"$3,292.96",1481,,Mears Ave,Cincinnati,OH,"1481 Mears Ave Cincinnati, OH","1481 Mears Ave, Cincinnati, OH 45230, USA",-84.3877133,39.0799846,122000,2011,8
7,003-0003-0073-00,2486 Wenatchee Ln,1235,510,1955,06-06-2011,"$148,500",6,3,2,0,21689.0,WD - Warranty Deed (Conv),1,0.225,"$4,595.47",69.301606,CINCINNATI CSD,00122 - MT WASHINGTON 22,No,No,No,Yes,No,Yes,33270,0,181240,214510,0,0,0,"$4,595.47",2486,,Wenatchee Ln,Cincinnati,OH,"2486 Wenatchee Ln Cincinnati, OH","2486 Wenatchee Ln, Cincinnati, OH 45230, USA",-84.38927509999999,39.1017771,148500,2011,6
8,003-0005-0136-00,2684 Bonnie Dr,1197,510,1954,08-11-2011,"$140,000",5,2,2,0,24580.0,WD - Warranty Deed (Conv),1,0.33,"$3,432.20",69.301606,CINCINNATI CSD,00121 - MT WASHINGTON 21,No,No,Yes,Yes,No,Yes,36340,0,176790,213130,0,0,0,"$3,432.20",2684,,Bonnie Dr,Cincinnati,OH,"2684 Bonnie Dr Cincinnati, OH","2684 Bonnie Dr, Cincinnati, OH 45230, USA",-84.3868157,39.1066704,140000,2011,8
9,023-0003-0129-00,3340 Royal Pl,1257,510,1927,05-05-2011,"$240,000",7,3,2,0,63059.0,WD - Warranty Deed (Conv),1,0.119,"$7,225.89",69.301606,CINCINNATI CSD,00602 - MT LOOKOUT 02,No,No,No,No,No,Yes,172280,0,153260,325540,0,0,0,"$7,225.89",3340,,Royal Pl,Cincinnati,OH,"3340 Royal Pl Cincinnati, OH","3340 Royal Pl, Cincinnati, OH 45208, USA",-84.4234153,39.1305346,240000,2011,5
10,026-0001-0019-00,506 Delta Ave,1262,510,1924,03-29-2011,"$157,000",6,3,1,1,361722.0,WD - Warranty Deed (Conv),1,0.192,"$5,526.24",69.301606,CINCINNATI CSD,00420 - COLUMBIA TUSCULUM 20,No,No,No,Yes,No,Yes,99990,0,157320,257310,0,0,0,"$5,526.24",506,,Delta Ave,Cincinnati,OH,"506 Delta Ave Cincinnati, OH","506 Delta Ave, Cincinnati, OH 45226, USA",-84.43761590000001,39.1192331,157000,2011,3
11,026-0001-0086-00,543 Hoge St,1214,510,1892,08-22-2011,"$214,750",8,3,2,1,263710.0,WD - Warranty Deed (Conv),1,0.085,"$7,265.73",69.301606,CINCINNATI CSD,00405 - COLUMBIA TUSCULUM 05,No,No,No,Yes,No,Yes,144170,0,195830,340000,0,0,0,"$7,265.73",543,,Hoge St,Cincinnati,OH,"543 Hoge St Cincinnati, OH","543 Hoge St, Cincinnati, OH 45226, USA",-84.4368831,39.1187677,214750,2011,8
