,parcel_number,address,finsqft,use,year_built,transfer_date,amount,total_rooms,bedrooms,full_baths,half_baths,conveyance_number,deed_type,num_parcels_sold,acreage,annual_tax,effective_tax_rate,school_district,appraisal_area,board_of_revision,rental_registration,homestead,owner_occupancy_credit,foreclosure,special_assessments,market_land_value,cauv_value,market_improvement_value,market_total_value,tif_value,abated_value,exempt_value,taxes_paid,st_num,apt_num,street,new_address,formatted_address,longitude,latitude,num_amount,year,month,missing_house_number,city
0,521-0009-0066-00,101 Fieldstone Dr,1426,510,1954,06-17-2009,"$120,000",6,3,2,0,128542.0,WD - Warranty Deed (Conv),1,0.388,"$8,109.32",75.21388,MARIEMONT CSD,52101 - TERRACE PARK 01,YES(10),No,No,Yes,No,Yes,101300,0,241060,342360,0,0,0,"$4,055.81",101,,Fieldstone Dr,101 Fieldstone Dr,"101 Fieldstone Dr, Terrace Park, OH 45174, USA",-84.3151065,39.1647358,120000,2009,6,101,
1,523-0006-0037-00,3914 Germania Ave,1066,510,1930,06-11-2009,"$131,750",6,3,1,0,273144.0,WD - Warranty Deed (Conv),1,0.113,"$5,942.55",76.13317,MARIEMONT CSD,52301 - FAIRFAX 01,No,No,No,Yes,No,Yes,57530,0,191970,249500,0,0,0,"$2,975.34",3914,,Germania Ave,3914 Germania Ave,"3914 Germania St, Cincinnati, OH 45227, USA",-84.3936141,39.1460116,131750,2009,6,3914,
2,523-0006-0103-00,3714 Lonsdale St,1144,510,1955,06-11-2009,"$148,500",5,3,1,0,143744.0,WD - Warranty Deed (Conv),1,0.156,"$5,370.65",76.13317,MARIEMONT CSD,52301 - FAIRFAX 01,No,No,No,Yes,No,Yes,68310,0,156890,225200,0,0,0,"$2,689.39",3714,,Lonsdale St,3714 Lonsdale St,"3714 Lonsdale St, Cincinnati, OH 45227, USA",-84.3901575,39.1434115,148500,2009,6,3714,
3,523-0006-0222-00,6110 Elder St,1436,510,1930,06-24-2009,"$120,000",6,3,1,0,23941.0,WD - Warranty Deed (Conv),1,0.109,"$4,367.70",76.13317,MARIEMONT CSD,52301 - FAIRFAX 01,YES(94),No,No,Yes,No,Yes,56400,0,127190,183590,0,0,0,"$2,185.88",6110,,Elder St,6110 Elder St,"6110 Elder St, Cincinnati, OH 45227, USA",-84.3907943,39.1463366,120000,2009,6,6110,
4,523-0006-0304-00,3811 Carlton Ave,1064,510,1918,05-05-2009,"$105,000",5,3,1,0,314752.0,WD - Warranty Deed (Conv),1,0.113,"$3,870.63",76.13317,MARIEMONT CSD,52301 - FAIRFAX 01,No,No,No,Yes,No,Yes,57530,0,104970,162500,0,0,0,"$1,939.38",3811,,Carlton Ave,3811 Carlton Ave,"3811 Carlton Ave, Cincinnati, OH 45227, USA",-84.38879250000001,39.1455443,105000,2009,5,3811,
5,523-0006-0371-00,3803 Camden Ave,1243,510,1952,06-10-2009,"$116,500",5,3,2,0,174111.0,WD - Warranty Deed (Conv),1,0.113,"$5,058.57",76.13317,MARIEMONT CSD,52301 - FAIRFAX 01,No,No,No,Yes,No,Yes,57530,0,154740,212270,0,0,0,"$2,533.35",3803,,Camden Ave,3803 Camden Ave,"3803 Camden Ave, Cincinnati, OH 45227, USA",-84.3875609,39.1455053,116500,2009,6,3803,
6,523-0006-0575-00,3991 Watterson Rd,1280,510,1920,06-18-2009,"$110,000",6,3,1,0,23650.0,WD - Warranty Deed (Conv),1,0.134,"$4,392.33",76.13317,MARIEMONT CSD,52301 - FAIRFAX 01,YES(05),No,No,Yes,No,Yes,61040,0,123190,184230,0,0,0,"$2,200.23",3991,,Watterson Rd,3991 Watterson Rd,"3991 Watterson Rd, Cincinnati, OH 45227, USA",-84.3930311,39.1483719,110000,2009,6,3991,
7,525-0001-0016-00,7428 Miami Ave,1439,510,1956,04-28-2009,"$182,500",7,4,2,0,252713.0,WD - Warranty Deed (Conv),1,0.22,"$6,419.90",65.284164,MADEIRA CSD,52501 - MADEIRA 01,YES(07),No,No,Yes,No,Yes,127600,0,188500,316100,0,0,0,"$3,211.69",7428,,Miami Ave,7428 Miami Ave,"7428 Miami Ave, Cincinnati, OH 45243, USA",-84.36215179999999,39.1964225,182500,2009,4,7428,
8,525-0001-0099-00,7328 Juler Ave,1190,510,1938,05-14-2009,"$166,000",5,3,2,1,239753.0,WD - Warranty Deed (Conv),1,0.224,"$5,885.28",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,No,Yes,127600,0,161900,289500,0,0,0,"$2,946.12",7328,,Juler Ave,7328 Juler Ave,"7328 Juler Ave, Cincinnati, OH 45243, USA",-84.3608386,39.1947386,166000,2009,5,7328,
9,525-0001-0148-00,7225 Rita Ln,1284,510,1949,04-07-2009,"$167,500",6,3,2,0,20649.0,TR - Trustees Deed (Conv),1,0.186,"$6,316.68",65.284164,MADEIRA CSD,52501 - MADEIRA 01,YES(24),No,Yes,Yes,No,Yes,118670,0,218800,337470,0,0,0,"$3,161.82",7225,,Rita Ln,7225 Rita Ln,"7225 Rita Ln, Madeira, OH 45243, USA",-84.3567106,39.1924536,167500,2009,4,7225,
