,parcel_number,address,finsqft,use,year_built,transfer_date,amount,total_rooms,bedrooms,full_baths,half_baths,conveyance_number,deed_type,num_parcels_sold,acreage,annual_tax,effective_tax_rate,school_district,appraisal_area,board_of_revision,rental_registration,homestead,owner_occupancy_credit,foreclosure,special_assessments,market_land_value,cauv_value,market_improvement_value,market_total_value,tif_value,abated_value,exempt_value,taxes_paid,ST_NUM,APT_NUM,ST_NAME,new_address,latitude,longitude,num_amount,year,month,missing_house_number,corrected_address,city
0,525-0001-0065-00,"7505 Juler Ave, Cincinnati, OH 45243, USA",1476,510,1964,06-14-2013,"$255,000",8,4,2,1,52379.0,SV - Survivorship Deed (Conv),1,0.199,"$6,766.10",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,No,Yes,114840,0,218410,333250,0,0,0,"$3,384.79",7505,,Juler Ave,7505 Juler Ave,39.1973049,-84.36117349999999,255000,2013,6,7505.0,,Cincinnati
1,525-0001-0345-00,"7255 Jethve Ln, Cincinnati, OH 45243, USA",999,510,1953,06-11-2013,"$186,500",7,3,1,0,121538.0,WD - Warranty Deed (Conv),1,0.186,"$6,010.54",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,No,Yes,122500,0,173320,295820,0,0,0,"$3,008.75",7255,,Jethve Ln,7255 Jethve Ln,39.1951231,-84.3599966,186500,2013,6,7255.0,,Cincinnati
2,525-0001-0392-00,"7266 Berwood Dr, Cincinnati, OH 45243, USA",1008,510,1954,04-24-2013,"$130,500",5,2,1,0,49392.0,WD - Warranty Deed (Conv),1,0.212,"$5,456.22",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,No,Yes,128880,0,139800,268680,0,0,0,"$2,729.85",7266,,Berwood Dr,7266 Berwood Dr,39.1958488,-84.35818479999999,130500,2013,4,7266.0,,Cincinnati
3,525-0007-0034-00,"8110 Camargo Rd, Cincinnati, OH 45243, USA",1475,510,1926,06-20-2013,"$107,000",9,4,2,1,89599.0,WD - Warranty Deed (Conv),1,0.254,"$6,247.70",65.284164,MADEIRA CSD,52501 - MADEIRA 01,YES(14),No,No,Yes,No,Yes,129920,0,177780,307700,0,0,0,"$3,125.59",8110,,Camargo Rd,8110 Camargo Rd,39.191528,-84.353623,107000,2013,6,8110.0,,Cincinnati
4,525-0007-0036-00,"7206 Osceola Dr, Cincinnati, OH 45243, USA",1000,510,1947,06-05-2013,"$120,000",5,3,1,0,257393.0,QE - Quit Claim Deed (EX),1,0.165,"$6,059.02",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,Yes,No,No,No,Yes,111360,0,176750,288110,0,0,0,"$6,059.02",7206,,Osceola Dr,7206 Osceola Dr,39.1913738,-84.35406119999999,120000,2013,6,7206.0,,Cincinnati
5,525-0007-0057-00,"7254 Osceola Dr, Cincinnati, OH 45243, USA",1184,510,1948,06-24-2013,"$144,000",6,3,1,0,52932.0,SV - Survivorship Deed (Conv),1,0.159,"$5,086.66",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,No,No,Yes,113680,0,127990,241670,0,0,0,"$2,546.81",7254,,Osceola Dr,7254 Osceola Dr,39.1942478,-84.3534142,144000,2013,6,7254.0,,Cincinnati
6,525-0007-0304-00,"7263 Longfield Dr, Cincinnati, OH 45243, USA",1293,510,1958,05-29-2013,"$180,000",5,3,1,1,233742.0,WD - Warranty Deed (Conv),1,0.221,"$6,494.12",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,No,Yes,114840,0,204840,319680,0,0,0,"$3,250.54",7263,,Longfield Dr,7263 Longfield Dr,39.1968845,-84.3526851,180000,2013,5,7263.0,,Cincinnati
7,525-0007-0314-00,"7262 Longfield Dr, Cincinnati, OH 45243, USA",1469,510,1959,05-17-2013,"$155,000",7,3,1,2,50721.0,WD - Warranty Deed (Conv),1,0.245,"$6,423.87",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,No,Yes,136530,0,179500,316030,0,0,0,"$3,216.81",7262,,Longfield Dr,7262 Longfield Dr,39.1967041,-84.3520894,155000,2013,5,7262.0,,Cincinnati
8,525-0007-0317-00,"7256 Longfield Dr, Cincinnati, OH 45243, USA",1144,510,1961,06-13-2013,"$189,000",6,3,2,0,239714.0,WD - Warranty Deed (Conv),1,0.245,"$6,501.88",65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,No,Yes,136530,0,183470,320000,0,0,0,"$3,254.42",7256,,Longfield Dr,7256 Longfield Dr,39.196224,-84.3521408,189000,2013,6,7256.0,,Cincinnati
9,525-0009-0137-00,"7320 N Mingo Ln, Cincinnati, OH 45243, USA",1192,510,1955,06-17-2013,"$145,000",6,3,2,0,260909.0,WE - Warranty Deed (EX),1,0.258,"$6,306.86",65.284164,MADEIRA CSD,52502 - MADEIRA 02,No,No,No,Yes,No,Yes,146250,0,164160,310410,0,0,0,"$3,156.91",7320,,N Mingo Ln,7320 N Mingo Ln,39.2000995,-84.3670403,145000,2013,6,7320.0,,Cincinnati
