,parcel_number,address,finsqft,use,year_built,transfer_date,amount,total_rooms,bedrooms,full_baths,half_baths,conveyance_number,deed_type,num_parcels_sold,acreage,annual_tax,effective_tax_rate,school_district,appraisal_area,board_of_revision,rental_registration,homestead,owner_occupancy_credit,special_assessments,market_land_value,market_improvement_value,market_total_value,abated_value,taxes_paid,st_num,apt_num,street,formatted_address,longitude,latitude,year,month,city,geometry,market_land_value_num,age_of_house
0,521-0009-0066-00,101 Fieldstone Dr,1426,510,1954,2009-06-17,120000,6,3,2,0,128542.0,WD - Warranty Deed (Conv),1,0.388,8109.32,75.21388,MARIEMONT CSD,52101 - TERRACE PARK 01,YES(10),No,No,Yes,Yes,101300,241060,342360,0,4055.81,101,,Fieldstone Dr,"101 Fieldstone Dr, Terrace Park, OH 45174, USA",-84.3151065,39.1647358,2009,6,Terrace Park,,101300.0,70
1,523-0006-0037-00,3914 Germania Ave,1066,510,1930,2009-06-11,131750,6,3,1,0,273144.0,WD - Warranty Deed (Conv),1,0.113,5942.55,76.13317,MARIEMONT CSD,52301 - FAIRFAX 01,No,No,No,Yes,Yes,57530,191970,249500,0,2975.34,3914,,Germania Ave,"3914 Germania St, Cincinnati, OH 45227, USA",-84.3936141,39.1460116,2009,6,Cincinnati,,57530.0,94
2,523-0006-0103-00,3714 Lonsdale St,1144,510,1955,2009-06-11,148500,5,3,1,0,143744.0,WD - Warranty Deed (Conv),1,0.156,5370.65,76.13317,MARIEMONT CSD,52301 - FAIRFAX 01,No,No,No,Yes,Yes,68310,156890,225200,0,2689.39,3714,,Lonsdale St,"3714 Lonsdale St, Cincinnati, OH 45227, USA",-84.3901575,39.1434115,2009,6,Cincinnati,,68310.0,69
3,523-0006-0222-00,6110 Elder St,1436,510,1930,2009-06-24,120000,6,3,1,0,23941.0,WD - Warranty Deed (Conv),1,0.109,4367.7,76.13317,MARIEMONT CSD,52301 - FAIRFAX 01,YES(94),No,No,Yes,Yes,56400,127190,183590,0,2185.88,6110,,Elder St,"6110 Elder St, Cincinnati, OH 45227, USA",-84.3907943,39.1463366,2009,6,Cincinnati,,56400.0,94
4,523-0006-0304-00,3811 Carlton Ave,1064,510,1918,2009-05-05,105000,5,3,1,0,314752.0,WD - Warranty Deed (Conv),1,0.113,3870.63,76.13317,MARIEMONT CSD,52301 - FAIRFAX 01,No,No,No,Yes,Yes,57530,104970,162500,0,1939.38,3811,,Carlton Ave,"3811 Carlton Ave, Cincinnati, OH 45227, USA",-84.38879250000001,39.1455443,2009,5,Cincinnati,,57530.0,106
5,523-0006-0371-00,3803 Camden Ave,1243,510,1952,2009-06-10,116500,5,3,2,0,174111.0,WD - Warranty Deed (Conv),1,0.113,5058.57,76.13317,MARIEMONT CSD,52301 - FAIRFAX 01,No,No,No,Yes,Yes,57530,154740,212270,0,2533.35,3803,,Camden Ave,"3803 Camden Ave, Cincinnati, OH 45227, USA",-84.3875609,39.1455053,2009,6,Cincinnati,,57530.0,72
6,523-0006-0575-00,3991 Watterson Rd,1280,510,1920,2009-06-18,110000,6,3,1,0,23650.0,WD - Warranty Deed (Conv),1,0.134,4392.33,76.13317,MARIEMONT CSD,52301 - FAIRFAX 01,YES(05),No,No,Yes,Yes,61040,123190,184230,0,2200.23,3991,,Watterson Rd,"3991 Watterson Rd, Cincinnati, OH 45227, USA",-84.3930311,39.1483719,2009,6,Cincinnati,,61040.0,104
7,525-0001-0016-00,7428 Miami Ave,1439,510,1956,2009-04-28,182500,7,4,2,0,252713.0,WD - Warranty Deed (Conv),1,0.22,6419.9,65.284164,MADEIRA CSD,52501 - MADEIRA 01,YES(07),No,No,Yes,Yes,127600,188500,316100,0,3211.69,7428,,Miami Ave,"7428 Miami Ave, Cincinnati, OH 45243, USA",-84.36215179999999,39.1964225,2009,4,Cincinnati,,127600.0,68
8,525-0001-0099-00,7328 Juler Ave,1190,510,1938,2009-05-14,166000,5,3,2,1,239753.0,WD - Warranty Deed (Conv),1,0.224,5885.28,65.284164,MADEIRA CSD,52501 - MADEIRA 01,No,No,No,Yes,Yes,127600,161900,289500,0,2946.12,7328,,Juler Ave,"7328 Juler Ave, Cincinnati, OH 45243, USA",-84.3608386,39.1947386,2009,5,Cincinnati,,127600.0,86
9,525-0001-0148-00,7225 Rita Ln,1284,510,1949,2009-04-07,167500,6,3,2,0,20649.0,TR - Trustees Deed (Conv),1,0.186,6316.68,65.284164,MADEIRA CSD,52501 - MADEIRA 01,YES(24),No,Yes,Yes,Yes,118670,218800,337470,0,3161.82,7225,,Rita Ln,"7225 Rita Ln, Madeira, OH 45243, USA",-84.3567106,39.1924536,2009,4,Madeira,,118670.0,75
